PIMS_ID,all_text_clean,all_text_clean_spacy,main_strategy_2,,capacity_building,enabling,finance_economy,food_and_agricultural_commodities,governance,law_regulation,management_operation,mitigation_adaptation,monitor_inventory,technology_innovation
1584,,,['food_and_agricultural_commodities'],0,0,0,0,1,0,0,0,0,0,0
1878,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
2006,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
2047,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
2204,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
2284,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
2762,,,['food_and_agricultural_commodities'],0,0,0,0,1,0,0,0,0,0,0
2890,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
3066,,,['law_regulation'],0,0,0,0,0,0,1,0,0,0,0
3127,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
3277,,,['law_regulation'],0,0,0,0,0,0,1,0,0,0,0
3298,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
3447,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
3515,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
3668,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
3809,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
3948,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
3967,,,['governance'],0,0,0,0,0,1,0,0,0,0,0
4018,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4023,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4092,,,['enabling'],0,0,1,0,0,0,0,0,0,0,0
4114,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4147,,,['governance'],0,0,0,0,0,1,0,0,0,0,0
4153,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4172,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4183,,,['governance'],0,0,0,0,0,1,0,0,0,0,0
4227,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4250,,,['food_and_agricultural_commodities'],0,0,0,0,1,0,0,0,0,0,0
4257,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4283,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4309,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4333,,,['law_regulation'],0,0,0,0,0,0,1,0,0,0,0
4383,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4389,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4391,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4392,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4402,,,['governance'],0,0,0,0,0,1,0,0,0,0,0
4416,,,['governance'],0,0,0,0,0,1,0,0,0,0,0
4462,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4464,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4481,,,['governance'],0,0,0,0,0,1,0,0,0,0,0
4482,,,['governance'],0,0,0,0,0,1,0,0,0,0,0
4490,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4493,,,['food_and_agricultural_commodities'],0,0,0,0,1,0,0,0,0,0,0
4508,,,['enabling'],0,0,1,0,0,0,0,0,0,0,0
4526,,,['enabling'],0,0,1,0,0,0,0,0,0,0,0
4529,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4536,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4537,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4546,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4552,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4567,,,['technology_innovation'],0,0,0,0,0,0,0,0,0,0,1
4570,,,['governance'],0,0,0,0,0,1,0,0,0,0,0
4571,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4588,,,['governance'],0,0,0,0,0,1,0,0,0,0,0
4591,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4593,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4594,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4598,,,['mitigation_adaptation'],0,0,0,0,0,0,0,0,1,0,0
4600,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4602,,,['technology_innovation'],0,0,0,0,0,0,0,0,0,0,1
4603,,,['law_regulation'],0,0,0,0,0,0,1,0,0,0,0
4605,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4606,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4607,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4625,,,['enabling'],0,0,1,0,0,0,0,0,0,0,0
4629,,,['food_and_agricultural_commodities'],0,0,0,0,1,0,0,0,0,0,0
4630,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4634,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4642,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4645,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4647,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4648,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4651,,,['law_regulation'],0,0,0,0,0,0,1,0,0,0,0
4656,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4659,,,['food_and_agricultural_commodities'],0,0,0,0,1,0,0,0,0,0,0
4670,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4673,,,['monitor_inventory'],0,0,0,0,0,0,0,0,0,1,0
4674,,,['law_regulation'],0,0,0,0,0,0,1,0,0,0,0
4675,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4679,,,['monitor_inventory'],0,0,0,0,0,0,0,0,0,1,0
4685,,,['enabling'],0,0,1,0,0,0,0,0,0,0,0
4686,,,['law_regulation'],0,0,0,0,0,0,1,0,0,0,0
4690,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4697,,,['law_regulation'],0,0,0,0,0,0,1,0,0,0,0
4712,,,['management_operation'],0,0,0,0,0,0,0,1,0,0,0
4716,,,['enabling'],0,0,1,0,0,0,0,0,0,0,0
4719,,,['law_regulation'],0,0,0,0,0,0,1,0,0,0,0
4720,,,['finance_economy'],0,0,0,1,0,0,0,0,0,0,0
4726,,,['capacity_building'],0,1,0,0,0,0,0,0,0,0,0
4727,,,['governance'],0,0,0,0,0,1,0,0,0,0,0
