PIMS_ID,all_text_clean,all_text_clean_spacy,third_9,,adaptive_governance,advocacy_towards_policy_makers,alignment,alternative_energy_sources,awareness_raising,best_available_techniques_best_environmental_practices_bat_bep,blue_economy,climate_resilience_for_fac_system_tp_6,coastal_risk_reduction,community_capacity_building,community_engagement,conflict_resolution,conserved_areas_protected_areas_management,crops_diversity_nutrition_and_abs_tp_1_10,demonstration_sites_pilot,development_planning,ecological_monitoring,ecosystem_mitigation_and_adaptation,ecosystem_services_monitoring,education_courses,energy_finance,facs_strategies_for_sustainable_supply_chain_tp_4,fiscal_planning,flood_prevention_early_warning,food_loss_and_waste_reduction_tp_3,green_building_practices,green_economy,impact_assessment,improved_diversified_sustainable_livelihoods_tp_5,infrastructure_against_natural_hazards,innovations_in_techniques_approaches,institutional_capacity_building,institutional_framework,integrated_coastal_zone_management,integrated_water_resource_management,inter_sectoral_coordination,knowledge_data_management,land_rights_and_tenure_security,laws_enforcement_regulation,laws_policy_plan_formulation,mainstream,management_effectiveness_mett,new_other_financial_schemes_mechanism,participatory_governance_models,partnerships,pollution_control,portfolio_learning,public_campaign,standards_labeling_guideline,surveillance_compliance,sustainable_agriculture_practices_and_use_of_resources_tp_2_7_8_9,sustainable_land_management,technical_capacity_building,transboundary_governance,waste_management,water_quality_quantity,water_supply_and_sanitation,wildlife_and_habitat_conservation
1584,,,[''],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,,,['waste_management'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2006,,,[''],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,,,[''],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2204,,,['portfolio_learning'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2284,,,[''],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2762,,,['advocacy_towards_policy_makers'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2890,,,[''],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3066,,,[''],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3127,,,['laws_enforcement_regulation'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
